file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.012632971
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.38219038
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.006049251
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.32028237
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.20042486
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.014635791
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0008992249
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.06197517
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.06891668
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.01578711
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00027470416
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00012117216
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8844115
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.37199777
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.009326621
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0016213577
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.008567605
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0004927095
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00012231506
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0014098427
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8271266
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.27553192
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9750701
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9769241
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.92931634
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.02807728
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.976601
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.012963003
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9613669
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.06367345
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6758906
