file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0019185652,0.0028065036,0.008156974,0.011918284,0.0062000817
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.19805272,0.057683915,0.33370116,0.2130345,0.20061807375000001
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00960609,0.013576944,0.009637384,0.0050479374,0.00946708885
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35176948,0.5155601,0.44509408,0.2464163,0.38970999
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.25892004,0.005335719,0.016065588,0.012122089,0.07311085900000001
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.12764469,0.029885553,0.1189189,0.3094842,0.14648333575
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0077798516,0.010686471,0.0663363,0.00476157,0.022391048150000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.41213694,0.08513819,0.13221005,0.04899127,0.1696191125
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.18125282,0.0478353,0.0826022,0.25133193,0.1407555625
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0095594395,0.023725843,0.0031050872,0.058048338,0.023609676925
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00059843913,0.0024890455,0.0015617143,0.019757459,0.006101664482500001
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016001314,0.0026131421,5.5484485e-05,5.1958257e-05,0.0046804747104999996
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9074683,0.92819536,0.9522284,0.9759278,0.940954965
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68281555,0.8788647,0.8954723,0.25132677,0.67711983
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00025073218,0.00039715538,0.00031984635,0.00032506807,0.000323200495
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0034810994,0.0027508289,0.008692952,0.026440145,0.010341256325000001
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.20075214,0.12354145,0.03405475,0.0333277,0.09791901000000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0864298,0.06539698,0.023130639,0.0037776865,0.044683776375
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.13160239,0.03318478,0.39593843,0.30324662,0.21599305500000002
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.047742505,0.08296162,0.03701839,0.16050263,0.08205628625
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9240399,0.88960636,0.93389374,0.80694443,0.8886211075
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3046333,0.39735615,0.11205685,0.13932809,0.2383435975
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.96057826,0.9688709,0.98325586,0.81484115,0.9318865424999999
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9766018,0.98907673,0.99463993,0.97725165,0.9843925275
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.93935287,0.9777616,0.9856839,0.9543264,0.9642811925000001
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.35147077,0.13695194,0.3144984,0.035498615,0.20960493125
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.92798287,0.81690973,0.86610484,0.98320687,0.8985510775000001
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0009384347,0.13255906,0.0030884352,0.0029858311,0.03489294025
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.87741864,0.9450548,0.9774399,0.99204636,0.9479899249999999
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.40387547,0.6526708,0.4719384,0.53765255,0.516534305
