file_id,organism,locus_tag,ess,conf,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0028065036,0.011918284,0.1841545,0.06629309586666667
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.057683915,0.2130345,0.30965227,0.193456895
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.013576944,0.0050479374,0.011370464,0.009998448466666667
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.5155601,0.2464163,0.72495395,0.49564345
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.005335719,0.012122089,0.02778585,0.015081219333333335
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.029885553,0.3094842,0.03652062,0.125296791
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.010686471,0.00476157,0.000791538,0.005413193
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.08513819,0.04899127,0.088201016,0.07411015866666666
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0478353,0.25133193,0.4801474,0.25977154333333335
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.023725843,0.058048338,0.06639679,0.04939032366666666
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0024890455,0.019757459,0.012204867,0.0114837905
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0026131421,5.1958257e-05,0.006251838,0.0029723127856666667
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.92819536,0.9759278,0.8841402,0.9294211200000001
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8788647,0.25132677,0.72377735,0.6179896066666667
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00039715538,0.00032506807,0.00018526442,0.0003024959566666667
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0027508289,0.026440145,0.096231215,0.0418073963
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.12354145,0.0333277,0.16303779,0.10663564666666665
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.06539698,0.0037776865,0.02355563,0.030910098833333333
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.03318478,0.30324662,5.5997592e-05,0.11216246586400001
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.08296162,0.16050263,0.027999837,0.09048802900000001
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.88960636,0.80694443,0.88274443,0.8597650733333334
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.39735615,0.13932809,0.14758241,0.22808888333333335
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9688709,0.81484115,0.96517944,0.9162971633333333
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98907673,0.97725165,0.985502,0.98394346
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9777616,0.9543264,0.7782213,0.9034364333333333
