file_id,organism,locus_tag,ess,conf,conf_aamean,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06,0.02111127,0.0105569345249
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806,0.55480313,0.392780595
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059,0.005915537,0.008864298
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056,0.31530145,0.30698600499999995
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148,0.5503662,0.39350884
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247,0.12514779,0.0924470185
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784,0.0047607343,0.02855175915
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502,0.19769898,0.19722458999999998
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357,0.01201606,0.0124777085
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062,0.016927907,0.0290599845
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564,0.02628206,0.0142328582
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057,0.0024673515,0.01663270425
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987,0.86352676,0.863268315
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153,0.875712,0.7579325
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223,0.0060222317,0.004467277
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467,0.29146093,0.15394119850000001
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143,0.051794168,0.08546779900000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607,0.07489592,0.03998584035
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488,0.0014706104,0.0033327452
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997,0.0038170065,0.0054160531
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385,0.8327119,0.8221752
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208,0.26843074,0.34423141
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631,0.96996963,0.964866365
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583,0.9622431,0.9618007
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852,0.9706334,0.9586593
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302,0.33717942,0.27347122
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.98150086,0.9597408,0.97062083
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04909416,0.04630608,0.04770012
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97050595,0.97646546,0.973485705
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.70350504,0.79641354,0.7499592900000001
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.46883312,0.8137802,0.6413066599999999
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.09500919,0.058302432,0.07665581099999999
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0025779023,0.022950768,0.01276433515
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.026465585,0.04713754,0.036801562499999996
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0126466155,0.09563959,0.05414310275
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0007923425,0.05732377,0.029058056250000002
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10270126,0.28448936,0.19359531000000002
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.010652636,0.14985491,0.080253773
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0817314,0.09471973,0.088225565
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.17710568,0.12586555,0.151485615
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.058289554,0.20476572,0.131527637
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.19977261,0.03288317,0.11632788999999999
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.008858878,0.09731045,0.053084664000000004
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0009669261,0.006716754,0.0038418400500000002
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0033526674,0.08811773,0.0457351987
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9468801,0.989674,0.96827705
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.030117478,0.00812693,0.019122204
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00072427443,0.0055068866,0.003115580515
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2829895,0.46756187,0.37527568499999997
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.75690234,0.54937905,0.653140695
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8933968,0.9361213,0.91475905
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.97976905,0.9713082,0.975538625
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.12834376,0.03147262,0.07990819
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.02288935,0.1967328,0.10981107500000001
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0031809895,0.023542617,0.013361803249999998
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.05277617,0.081073605,0.0669248875
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.042192556,0.040762134,0.041477345
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00865098,0.06368418,0.036167580000000005
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0075799925,0.017194048,0.01238702025
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00013579022,0.0015310104,0.00083340031
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.20164904,0.10089387,0.151271455
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.007089071,0.016853983,0.011971527
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.21685885,0.030426683,0.1236427665
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0016561775,0.02028741,0.01097179375
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.109824985,0.42838842,0.2691067025
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5360089,0.57875055,0.557379725
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.420087,0.27184737,0.345967185
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.64661753,0.38465357,0.51563555
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.64994043,0.761946,0.705943215
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.002387718,0.004396492,0.0033921050000000003
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.004418194,0.094187036,0.049302615
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.109265275,0.17567742,0.1424713475
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.012074592,0.005500166,0.008787379
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.4807425,0.9093629,0.6950527
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62862307,0.66336477,0.64599392
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96295786,0.97109276,0.96702531
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.97287524,0.9446149,0.95874507
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9714414,0.98531264,0.9783770199999999
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9834583,0.95982957,0.971643935
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.98308796,0.9575864,0.97033718
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.9520105,0.9946089,0.9733096999999999
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9604883,0.94438505,0.952436675
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9130591,0.9516654,0.93236225
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.9721595,0.9901155,0.9811375
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.90928316,0.92083055,0.915056855
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.95941615,0.9196223,0.939519225
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.99188143,0.9850631,0.988472265
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9466899,0.9444313,0.9455606
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.9848877,0.9941644,0.98952605
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.0075239614,0.0003371583,0.00393055985
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.973473,0.9827756,0.9781243
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.69698524,0.6164264,0.65670582
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.023998318,0.025215711,0.0246070145
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.04319743,0.11191449,0.07755596000000001
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.88825065,0.8832468,0.885748725
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.40155256,0.4783114,0.43993198
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.008743686,0.007365327,0.0080545065
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.012879125,0.0033513645,0.00811524475
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,4.7721318e-05,0.0003394058,0.000193563559
