file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0019185652,0.0028065036,0.008156974,0.004294014266666667
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.19805272,0.057683915,0.33370116,0.19647926500000001
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00960609,0.013576944,0.009637384,0.010940139333333333
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35176948,0.5155601,0.44509408,0.43747455333333335
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.25892004,0.005335719,0.016065588,0.09344044900000002
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.12764469,0.029885553,0.1189189,0.09214971433333334
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0077798516,0.010686471,0.0663363,0.028267540866666666
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.41213694,0.08513819,0.13221005,0.20982839333333334
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.18125282,0.0478353,0.0826022,0.10389677333333334
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0095594395,0.023725843,0.0031050872,0.012130123233333333
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00059843913,0.0024890455,0.0015617143,0.0015497329766666667
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016001314,0.0026131421,5.5484485e-05,0.006223313528333333
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9074683,0.92819536,0.9522284,0.9292973533333333
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68281555,0.8788647,0.8954723,0.81905085
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00025073218,0.00039715538,0.00031984635,0.00032257796999999997
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0034810994,0.0027508289,0.008692952,0.0049749601
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.20075214,0.12354145,0.03405475,0.11944944666666668
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0864298,0.06539698,0.023130639,0.058319139666666665
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.13160239,0.03318478,0.39593843,0.18690853333333335
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.047742505,0.08296162,0.03701839,0.055907505
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.9240399,0.88960636,0.93389374,0.9158466666666666
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.3046333,0.39735615,0.11205685,0.2713487666666667
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.96057826,0.9688709,0.98325586,0.9709016733333332
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9766018,0.98907673,0.99463993,0.98677282
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.93935287,0.9777616,0.9856839,0.9675994566666667
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.35147077,0.13695194,0.3144984,0.26764037
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.92798287,0.81690973,0.86610484,0.8703324800000001
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0009384347,0.13255906,0.0030884352,0.0455286433
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.87741864,0.9450548,0.9774399,0.9333044466666666
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.40387547,0.6526708,0.4719384,0.50949489
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.8164248,0.6072535,0.7860138,0.7365640333333333
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.016749658,0.06755967,0.04482489,0.04304473933333333
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.17495458,0.039856136,0.0029406587,0.07258379156666667
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0042640595,0.0031673291,0.043419875,0.0169504212
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.02389841,0.008312511,0.014353725,0.015521548666666664
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.018124186,0.003540077,0.0087937275,0.010152663499999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.1870422,0.02237788,0.08893377,0.09945128333333332
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.1243332,0.2055401,0.0059911935,0.11195483116666667
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0021996892,0.091955654,0.019550053,0.03790179873333333
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.0013063871,0.09819964,0.10965127,0.06971909903333333
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.021954251,0.0051229903,0.03605561,0.021044283766666668
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.009882855,0.18551062,0.0012006458,0.0655313736
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0057141017,0.015990041,0.08610456,0.03593623423333333
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0021644053,0.0027264915,0.022372324,0.009087740266666667
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.11124663,0.018750992,0.026577964,0.052191862000000006
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.93037874,0.8711967,0.9483314,0.9166356133333334
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.002836136,0.03634214,0.07640725,0.03852850866666666
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0136753535,0.085011415,0.661739,0.25347525616666666
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.5572427,0.53359824,0.711511,0.60078398
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.6923845,0.7812698,0.5657593,0.6798045333333333
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.6136881,0.6419546,0.7546367,0.6700931333333333
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.99653697,0.98855966,0.99017006,0.9917555633333333
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.051979486,0.017595353,0.061965354,0.043846731
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.06690481,0.032529388,0.023925016,0.041119737999999996
