file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06,0.02111127,0.21361765,0.036032084,0.06769090076245
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806,0.55480313,0.5305688,0.21421465,0.38258615999999995
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059,0.005915537,0.04805535,0.0247719,0.0226389615
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056,0.31530145,0.4826862,0.44177678,0.38460874749999996
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148,0.5503662,0.018061398,0.10416359,0.227310667
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247,0.12514779,0.06996174,0.03887496,0.07343268425
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784,0.0047607343,0.0076902453,0.00011477008,0.01622713342
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502,0.19769898,0.087276265,0.107053734,0.14719479475
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357,0.01201606,0.06326558,0.65833926,0.18664006425
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062,0.016927907,0.0039593377,0.0057872245,0.0169666328
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564,0.02628206,0.025377791,0.04354033,0.02434595935
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057,0.0024673515,0.010087439,0.044640977,0.021998456125
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987,0.86352676,0.9103961,0.9160819,0.8882536575
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153,0.875712,0.6856426,0.77859086,0.7450246150000001
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223,0.0060222317,0.6425733,0.00061897386,0.163031706965
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467,0.29146093,0.08322143,0.002666854,0.09844267025
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143,0.051794168,0.052317224,0.04147391,0.066181683
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607,0.07489592,0.0039500906,0.000261031,0.021045700575
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488,0.0014706104,0.020241255,0.00017615795,0.0067707258375
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997,0.0038170065,0.015691537,8.858107e-06,0.00663312532675
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385,0.8327119,0.87450695,0.7990128,0.8294675375
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208,0.26843074,0.36485502,0.19546542,0.31219581500000004
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631,0.96996963,0.976478,0.9787178,0.9712321325
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583,0.9622431,0.9706515,0.9811623,0.9688538
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852,0.9706334,0.9753914,0.97950774,0.968054435
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302,0.33717942,0.34173593,0.26009604,0.28719360250000003
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.98150086,0.9597408,0.9839072,0.9631583,0.97207679
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04909416,0.04630608,0.035631668,0.33488965,0.1164803895
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97050595,0.97646546,0.9888265,0.96404016,0.9749595175
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.70350504,0.79641354,0.72186136,0.088446245,0.5775565462500001
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.46883312,0.8137802,0.7412384,0.74810255,0.6929885674999999
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.09500919,0.058302432,0.110606976,0.0006083875,0.06613174637499998
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0025779023,0.022950768,0.0069366507,0.014572338,0.011759414749999999
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.026465585,0.04713754,0.017382555,0.016322572,0.026827062999999998
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0126466155,0.09563959,0.002218331,0.00219528,0.028174954125
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0007923425,0.05732377,0.050745074,0.008127568,0.029247188625000003
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10270126,0.28448936,0.109924726,0.42940354,0.2316297215
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.010652636,0.14985491,0.0741274,0.044481333,0.06977906975
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0817314,0.09471973,0.16142571,0.31600022,0.163469265
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.17710568,0.12586555,0.03322996,0.105265856,0.1103667615
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.058289554,0.20476572,0.31540146,0.11998099,0.17460943099999998
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.19977261,0.03288317,0.018340165,0.050528295,0.07538106
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.008858878,0.09731045,0.0031650898,0.00084100396,0.027543855440000004
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0009669261,0.006716754,0.007626369,0.002410152,0.004430050275
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0033526674,0.08811773,0.030705461,0.030302372,0.0381195576
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9468801,0.989674,0.9023922,0.9367485,0.9439237
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.030117478,0.00812693,0.035455782,0.054216173,0.03197909075
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00072427443,0.0055068866,0.0022417265,0.0009923753,0.0023663157075000003
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2829895,0.46756187,0.6937942,0.3162614,0.4401517425
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.75690234,0.54937905,0.49450788,0.6134768,0.6035665175
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8933968,0.9361213,0.9678982,0.97936624,0.944195635
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.97976905,0.9713082,0.92331034,0.99897456,0.9683405375
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.12834376,0.03147262,0.003513017,0.005517055,0.042211613
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.02288935,0.1967328,0.08134826,0.008316297,0.07732167675000001
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0031809895,0.023542617,0.00031643116,0.00050725514,0.006886823199999999
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.05277617,0.081073605,0.0742571,0.00095867034,0.052266386335000005
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.042192556,0.040762134,0.26516297,0.77379704,0.280478675
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00865098,0.06368418,0.00058314926,0.0031145539,0.01900821579
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0075799925,0.017194048,0.0011560522,0.03055527,0.014121340675
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00013579022,0.0015310104,0.0042419415,0.0073701325,0.0033197186549999997
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.20164904,0.10089387,0.07553635,0.08918174,0.11681525000000001
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.007089071,0.016853983,0.078922264,0.14706357,0.062482222000000004
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.21685885,0.030426683,0.39620516,0.004473217,0.1619909775
