file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0019185652,0.0028065036,0.008156974,0.011918284,0.1841545,0.04179096536
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.19805272,0.057683915,0.33370116,0.2130345,0.30965227,0.222424913
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.00960609,0.013576944,0.009637384,0.0050479374,0.011370464,0.009847763879999999
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35176948,0.5155601,0.44509408,0.2464163,0.72495395,0.456758782
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.25892004,0.005335719,0.016065588,0.012122089,0.02778585,0.06404585720000001
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.12764469,0.029885553,0.1189189,0.3094842,0.03652062,0.1244907926
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0077798516,0.010686471,0.0663363,0.00476157,0.000791538,0.01807114612
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.41213694,0.08513819,0.13221005,0.04899127,0.088201016,0.1533354932
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.18125282,0.0478353,0.0826022,0.25133193,0.4801474,0.20863392999999997
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0095594395,0.023725843,0.0031050872,0.058048338,0.06639679,0.03216709954
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00059843913,0.0024890455,0.0015617143,0.019757459,0.012204867,0.007322304986
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.016001314,0.0026131421,5.5484485e-05,5.1958257e-05,0.006251838,0.0049947473684
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9074683,0.92819536,0.9522284,0.9759278,0.8841402,0.929592012
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68281555,0.8788647,0.8954723,0.25132677,0.72377735,0.686451334
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.00025073218,0.00039715538,0.00031984635,0.00032506807,0.00018526442,0.00029561328
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0034810994,0.0027508289,0.008692952,0.026440145,0.096231215,0.02751924806
