file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06,0.02111127,0.21361765,0.22322103,0.036032084,0.09879692660996
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806,0.55480313,0.5305688,0.2418461,0.21421465,0.35443814799999995
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059,0.005915537,0.04805535,0.06687343,0.0247719,0.0314858552
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056,0.31530145,0.4826862,0.20605674,0.44177678,0.348898346
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148,0.5503662,0.018061398,0.490829,0.10416359,0.2800143336
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247,0.12514779,0.06996174,0.17277795,0.03887496,0.0933017374
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784,0.0047607343,0.0076902453,0.0006859067,0.00011477008,0.013118888076000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502,0.19769898,0.087276265,0.026956832,0.107053734,0.1231472022
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357,0.01201606,0.06326558,0.41058716,0.65833926,0.2314294834
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062,0.016927907,0.0039593377,0.005827146,0.0057872245,0.014738735440000001
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564,0.02628206,0.025377791,0.12355908,0.04354033,0.04418858348
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057,0.0024673515,0.010087439,0.0005914214,0.044640977,0.01771704918
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987,0.86352676,0.9103961,0.95380485,0.9160819,0.901363896
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153,0.875712,0.6856426,0.7261306,0.77859086,0.7412458120000001
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223,0.0060222317,0.6425733,0.009814955,0.00061897386,0.132388356572
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467,0.29146093,0.08322143,0.06245051,0.002666854,0.09124423820000001
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143,0.051794168,0.052317224,0.12004082,0.04147391,0.07695351040000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607,0.07489592,0.0039500906,0.023880282,0.000261031,0.02161261686
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488,0.0014706104,0.020241255,7.103912e-05,0.00017615795,0.005430788494
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997,0.0038170065,0.015691537,0.0655522,8.858107e-06,0.018416940261400002
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385,0.8327119,0.87450695,0.78389794,0.7990128,0.8203536180000001
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208,0.26843074,0.36485502,0.23180124,0.19546542,0.2961169
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631,0.96996963,0.976478,0.99269825,0.9787178,0.975525356
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583,0.9622431,0.9706515,0.974256,0.9811623,0.96993424
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852,0.9706334,0.9753914,0.9489512,0.97950774,0.9642337879999999
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302,0.33717942,0.34173593,0.23715809,0.26009604,0.2771865
