file_id,organism,locus_tag,ess,conf,conf_eos,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,2.5990498e-06,0.22322103,0.11161181452489999
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.23075806,0.2418461,0.23630208
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.011813059,0.06687343,0.0393432445
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.29867056,0.20605674,0.25236365
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.23665148,0.490829,0.36374024
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.059746247,0.17277795,0.11626209850000001
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.052342784,0.0006859067,0.026514345350000003
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.1967502,0.026956832,0.11185351599999999
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.012939357,0.41058716,0.2117632585
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.041192062,0.005827146,0.023509604
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0021836564,0.12355908,0.0628713682
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.030798057,0.0005914214,0.0156947392
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.86300987,0.95380485,0.90840736
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.640153,0.7261306,0.6831418
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0029123223,0.009814955,0.00636363865
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.016421467,0.06245051,0.0394359885
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.11914143,0.12004082,0.119591125
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0050757607,0.023880282,0.01447802135
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00519488,7.103912e-05,0.0026329595599999998
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0070150997,0.0655522,0.03628364985
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8116385,0.78389794,0.79776822
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42003208,0.23180124,0.32591665999999997
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9597631,0.99269825,0.976230675
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9613583,0.974256,0.9678071500000001
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9466852,0.9489512,0.9478181999999999
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.20976302,0.23715809,0.223460555
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.98150086,0.99197394,0.9867374
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.04909416,0.13308676,0.09109046
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.97050595,0.9647898,0.9676478749999999
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.70350504,0.6200852,0.6617951200000001
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.46883312,0.6693283,0.5690807099999999
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.09500919,0.029541956,0.062275573
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0025779023,0.031968173,0.01727303765
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.026465585,0.07776393,0.0521147575
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0126466155,0.011739798,0.01219320675
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0007923425,0.0010091051,0.0009007238
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.10270126,0.03816747,0.070434365
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.010652636,0.024229724,0.01744118
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.0817314,0.13500614,0.10836877
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.17710568,0.02379891,0.100452295
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.058289554,0.032026682,0.045158118
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.19977261,0.21404083,0.20690672
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.008858878,0.0075488095,0.00820384375
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0009669261,0.0019797338,0.00147332995
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.0033526674,0.025893254,0.0146229607
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.9468801,0.95474464,0.95081237
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.030117478,0.0023489906,0.0162332343
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00072427443,0.037232857,0.018978565715
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.2829895,0.3197816,0.30138555
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.75690234,0.5914748,0.67418857
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.8933968,0.9631426,0.9282697
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.97976905,0.99609214,0.987930595
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.12834376,0.0138900755,0.07111691775
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.02288935,0.20818304,0.11553619500000001
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.0031809895,0.0016680722,0.00242453085
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.05277617,0.016363965,0.034570067499999996
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.042192556,0.013232824,0.027712689999999998
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00865098,0.009245886,0.008948433
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.0075799925,0.009219718,0.008399855250000001
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.00013579022,0.09230517,0.04622048011
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.20164904,0.14590394,0.17377649
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.007089071,0.012424037,0.009756554
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.21685885,0.73333824,0.47509854500000004
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.0016561775,0.03728718,0.019471678750000002
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.109824985,0.009683034,0.0597540095
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.5360089,0.15302178,0.34451534
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.420087,0.07321788,0.24665244
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.64661753,0.16038536,0.403501445
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.64994043,0.686676,0.6683082149999999
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.002387718,0.0038942695,0.00314099375
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.004418194,0.04067225,0.022545222
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.109265275,0.5461676,0.3277164375
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.012074592,0.033120006,0.022597299
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.4807425,0.8980169,0.6893797
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.62862307,0.87684923,0.75273615
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.96295786,0.961404,0.96218093
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.97287524,0.97807455,0.9754748950000001
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.9714414,0.9941287,0.9827850499999999
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9834583,0.9934181,0.9884382
