file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.048759773
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.02042239
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.006717492
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.35163304
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.92382914
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.06996722
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0014894712
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.002765705
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0009794912
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.001586429
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0054816417
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00067301025
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.87436765
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.5325586
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0035860876
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.0002619005
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.016395003
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,1.2996242e-05
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,8.953876e-07
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.022984339
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.79273206
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.27492023
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9070145
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.98209596
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.7218497
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.054821197
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.96173006
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.22720754
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.99522686
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.018978586
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5653992
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.072040625
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0014272586
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.003130077
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0002287759
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.00028793502
