file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.017270418
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.42013127
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.002029365
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.1747322
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.008287768
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.11595539
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.00044201047
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.062589705
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.055924624
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.004488581
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00019531103
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00045439563
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8944246
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.38689834
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.047283534
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.007943993
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.01750617
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0013430517
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.00033095412
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.22041824
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.62356424
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.42025352
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.95182383
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.96283096
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9691656
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.022206431
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9578536
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.07338712
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9440608
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.4252805
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.35577005
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.07938338
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.01838248
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.008888469
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.0033872358
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.007253213
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.0739063
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.005044289
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.012954847
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.19281442
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.13116047
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.025537936
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.00095855806
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,1.2403107e-05
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.077363655
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.899801
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.0014119624
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.00027628933
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.21656735
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.17544293
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.7457565
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9896792
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.025787085
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.0037899055
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00011992484
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.007867419
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.092453614
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00048635388
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.002833214
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0006674442
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.62242675
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.0045535173
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.15478203
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,9.330078e-05
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.17725842
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.09467979
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.022399692
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.040167473
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.8705423
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,1.8691425e-07
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.0011989087
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.0769191
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.00028758412
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.5391132
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.81872725
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.9236264
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.9755165
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.997106
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9997085
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9725309
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.99840945
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.9908195
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.98269826
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.99683124
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.97187805
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.96367913
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.98717296
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.94034266
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.97045714
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.00018873626
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.9273303
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.03466076
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.00242848
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.0034412288
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9906143
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.0026616696
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.20770885
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.0004779568
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,2.7275598e-06
